BioSample accession no.,SourceSeq.,Strain_ID/Alias,IsolatYear,SourceCountry,Serogroup_type,ST,No. void loci
SAMEA1018237,ERR042757,F01474,,,,69,1
SAMEA1018763,ERR042758,D07064,,,,69,3
SAMEA1018740,ERR042759,F01480,,,,69,0
SAMEA1018749,ERR042760,D07078,,,,69,3
SAMEA1018823,ERR042761,B07120,,,,69,1
SAMEA1018797,ERR042762,K00173,,,,69,1
SAMEA1018681,ERR042763,F01544,,,,69,1
SAMEA1018652,ERR042764,C07819,,,,69,2
SAMEA1018349,ERR042765,F01734,,,,69,2
SAMEA1018283,ERR042766,B07626,,,,69,1
SAMEA1018311,ERR042767,D07820,,,,69,0
SAMEA1018257,ERR042768,L00700,,,,69,6
SAMEA1018273,ERR042769,A04119,,,,69,2
SAMEA1018216,ERR042770,F01826,,,,69,1
SAMEA1018198,ERR042771,M01422,,,,69,1
SAMEA1018225,ERR042772,E04048,,,,69,1
SAMEA1018159,ERR042773,C08672,,,,69,3
SAMEA1018184,ERR042774,F01926,,,,69,0
SAMEA1018337,ERR044538,C09011,,,,69,0
SAMEA1018361,ERR044539,C09093,,,,69,1
SAMEA1018389,ERR044540,B08287,,,,69,0
SAMEA1018419,ERR044541,M01788,,,,69,1
SAMEA1018447,ERR044542,D08526,,,,69,1
SAMEA1018466,ERR044543,E04427,,,,69,1
SAMEA1018489,ERR044544,C09131,,,,69,0
SAMEA1018483,ERR044545,C09146,,,,69,0
SAMEA1018171,ERR044546,L01066,,,,69,1
SAMEA1018190,ERR044547,B08318,,,,69,1
SAMEA1018158,ERR044548,F02137,,,,69,1
SAMEA1018226,ERR044549,B08383,,,,69,0
SAMEA1018205,ERR044550,E04548,,,,69,0
SAMEA1018210,ERR044551,F02148,,,,69,0
SAMEA1018277,ERR044552,B08392,,,,69,0
SAMEA1018251,ERR044553,B08428,,,,69,1
SAMEA1018301,ERR044554,F02171,,,,69,0
SAMEA1018290,ERR044555,F02195,,,,69,2
SAMEA1018358,ERR044556,A04583,,,,69,1
SAMEA1018339,ERR044557,L01148,,,,69,2
SAMEA1018724,ERR044558,B08533,,,,69,0
SAMEA1018752,ERR044559,E04777,,,,69,0
SAMEA1018765,ERR044745,C09387,,,,69,4
SAMEA1018790,ERR044746,B08540,,,,69,2
SAMEA1018785,ERR044747,M02079,,,,69,3
SAMEA1018814,ERR044748,C09430,,,,69,0
SAMEA1018231,ERR044749,M02145,,,,69,0
SAMEA1018206,ERR044750,C09497,,,,69,0
SAMEA1018182,ERR044751,M02166,,,,69,0
SAMEA1018156,ERR044752,F02281,,,,69,0
SAMEA1018645,ERR044753,F02284,,,,69,0
SAMEA1018585,ERR044754,F02291,,,,69,0
SAMEA1018592,ERR044755,B08657,,,,69,1
SAMEA1018702,ERR044756,C09535,,,,69,0
SAMEA1018729,ERR044757,C09542,,,,69,0
SAMEA1018723,ERR044758,D09262,,,,69,0
SAMEA1018656,ERR044759,C09545,,,,69,1
SAMEA1018674,ERR044760,D09278,,,,69,1
SAMEA1018789,ERR044761,F02309,,,,69,1
SAMEA1018820,ERR044762,M02208,,,,69,1
SAMEA1018379,ERR044763,M02201,,,,69,0
SAMEA1018574,ERR044764,M02200,,,,69,0
SAMEA1018599,ERR044765,C09551,,,,69,1
SAMEA1018621,ERR044766,F02311,,,,69,2
SAMEA1018647,ERR044767,F02306,,,,69,0
SAMEA1018506,ERR044768,F02307,,,,69,0
SAMEA1018502,ERR044769,M02212,,,,69,0
SAMEA1018519,ERR044770,F02317,,,,69,1
SAMEA1018526,ERR044771,F02318,,,,69,0
SAMEA1018567,ERR044772,F02321,,,,69,0
SAMEA1018445,ERR044774,A04747,,,,69,1
SAMEA1018412,ERR044775,C09563,,,,69,0
SAMEA1018400,ERR044776,M02485,,,,69,1
SAMEA1018363,ERR044777,B08654,,,,69,0
SAMEA1018684,ERR044779,116072,1991,Mexico,,69,7
SAMEA1018666,ERR044780,87258,1991,Mexico,,69,10
SAMEA1018721,ERR044781,116073,1991,Mexico,,69,2
SAMEA1018700,ERR044782,87151,1992,Mexico,,69,1
SAMEA1018610,ERR044783,116075,1992,Mexico,,69,0
SAMEA1018594,ERR044784,87397,1993,Mexico,,69,1
SAMEA1018571,ERR044785,87667,1993,Mexico,,69,1
SAMEA1018634,ERR044786,87662,1993,Mexico,,69,2
SAMEA1018791,ERR044788,87409,1995,Mexico,,69,2
SAMEA1018683,ERR044789,97639/1,,,,73,7
SAMEA1018668,ERR044790,93154,,,,73,7
SAMEA1018663,ERR044791,95430,1997,Mexico,,69,0
SAMEA1018718,ERR044792,95409,,,,73,4
SAMEA1018695,ERR044793,95412,,,,73,3
SAMEA1018590,ERR044794,354/02,,,,69,5
SAMEA1018575,ERR044795,204/12,,,,515,4
SAMEA1018635,ERR044796,B-33,,,,69,1
SAMEA1018487,ERR044797,B-64,,,,69,0
SAMEA1018421,ERR044800,Zim-27,,,,69,2
SAMEA1018344,ERR051745,F1DN4,2010,Pakistan,O1,69,0
SAMEA1018324,ERR051746,F2D59,2010,Pakistan,O1,69,0
SAMEA1018617,ERR051748,F4D48,2010,Pakistan,O1,69,0
SAMEA1018631,ERR051749,F5D38,2010,Pakistan,O1,69,0
SAMEA1018779,ERR051750,F6D36,,,,87,26
SAMEA1018803,ERR051751,F7D30,2010,Pakistan,O1,69,1
SAMEA1018824,ERR051752,F8D25,2010,Pakistan,O1,69,0
SAMEA1018750,ERR051753,F9D15,,,,,72
SAMEA1018768,ERR051754,F10D13,,,,555,29
SAMEA1018540,ERR051755,F11D4,2010,Pakistan,O1,69,11
SAMEA1018568,ERR051756,F12D1,2010,Pakistan,O1,69,0
SAMEA1018497,ERR051758,F14KPD3,2010,Pakistan,O1,69,3
SAMEA1018514,ERR051759,F15KTH7,2010,Pakistan,O1,69,1
SAMEA1018276,ERR051760,F16KTH6,2010,Pakistan,O1,69,1
SAMEA1018252,ERR051761,F17KTH4,2010,Pakistan,O1,69,0
SAMEA1018649,ERR051762,F18KTH3,2010,Pakistan,O1,69,0
SAMEA1018672,ERR051763,F19KTH2,2010,Pakistan,O1,69,0
SAMEA1018685,ERR051764,S1KCH15,2010,Pakistan,O1,69,0
SAMEA1018704,ERR051765,S2KCH17,2010,Pakistan,O1,69,0
SAMEA1018722,ERR051766,S3KCH19,,,,733,23
SAMEA1018745,ERR051767,S4KCH16,2010,Pakistan,O1,69,1
SAMEA1018758,ERR051768,S5KCH10,2010,Pakistan,O1,69,0
SAMEA1018769,ERR051769,S6KCH7,2010,Pakistan,O1,69,0
SAMEA1018187,ERR051770,S7KCH20,2010,Pakistan,O1,69,0
SAMEA1018172,ERR051771,S8KCH18,2010,Pakistan,O1,69,0
SAMEA1018234,ERR051772,S9KCH9,2010,Pakistan,O1,69,0
SAMEA1018207,ERR051773,S10P57,2010,Pakistan,O1,69,5
SAMEA1018266,ERR051775,S12P76,2010,Pakistan,O1,69,2
SAMEA1018247,ERR051776,S13P83,2010,Pakistan,O1,69,1
SAMEA1018309,ERR051777,S14P9,2010,Pakistan,O1,69,0
SAMEA1018793,ERR051779,S16HH1,2010,Pakistan,O1,69,1
SAMEA1018430,ERR051780,S17HH3,2010,Pakistan,O1,69,0
SAMEA1018415,ERR051781,S18HH4,2010,Pakistan,O1,69,0
SAMEA1018402,ERR051782,S19HH5,2010,Pakistan,O1,69,0
SAMEA1018371,ERR051783,S20HH14,2010,Pakistan,O1,69,0
SAMEA1018348,ERR051784,S21HH15,2010,Pakistan,O1,69,0
SAMEA1018345,ERR051785,S22HH17,2010,Pakistan,O1,69,0
SAMEA1018320,ERR051786,S23HH18,2010,Pakistan,O1,69,0
SAMEA1018316,ERR051787,S24RG6,2010,Pakistan,O1,69,0
SAMEA1018282,ERR051788,S25R22,2010,Pakistan,O1,69,0
SAMEA1018269,ERR051789,S26R24,2010,Pakistan,O1,69,0
SAMEA1018505,ERR051790,S27RG11,2010,Pakistan,O1,69,0
SAMEA1018813,ERR054205,IB5398,,,,69,0
SAMEA1018739,ERR054206,IB5399,,,,69,0
SAMEA1018755,ERR054207,IB5400,,,,69,0
SAMEA1018775,ERR054208,IB5401,,,,69,0
SAMEA1018222,ERR054209,IB5402,,,,69,4
SAMEA1018201,ERR054210,IB5403,,,,69,0
SAMEA1018586,ERR054211,IB5404,,,,69,0
SAMEA1018611,ERR054212,IB5405,,,,69,0
SAMEA1018593,ERR054213,IB5406,,,,69,0
SAMEA1018616,ERR054214,IB5407,,,,69,1
SAMEA1018633,ERR054215,IB5408,,,,69,0
SAMEA1018658,ERR054216,IB5409,,,,69,0
SAMEA1018673,ERR054217,IB5410,,,,69,1
SAMEA1018697,ERR054218,IB5411,,,,69,0
SAMEA1018710,ERR054219,IB5412,,,,69,0
SAMEA1018730,ERR054220,IB5413,,,,69,1
SAMEA1018479,ERR054221,IB5414,,,,69,0
SAMEA1018460,ERR063641,IB5415,,,,69,2
SAMEA1018815,ERR063642,IB5416,,,,69,0
SAMEA1018816,ERR063643,IB5417,,,,69,0
SAMEA1018794,ERR063644,IB5418,,,,69,0
SAMEA1018772,ERR063645,IB5419,,,,69,0
SAMEA1018735,ERR063646,IB5420,,,,69,2
SAMEA1018715,ERR063647,IB5421,,,,69,0
SAMEA1018698,ERR063648,IB5422,,,,69,0
SAMEA1018707,ERR063649,IB5423,,,,69,1
SAMEA1018293,ERR063650,IB5424,,,,69,0
SAMEA1018307,ERR063651,EDC002,,,,,36
SAMEA1018256,ERR063652,S_12,,,,764,29
SAMEA1018280,ERR063653,S_18,,,,796,36
SAMEA1018196,ERR063655,S_24,,,,,56
SAMEA1018223,ERR063656,S_29,,,,3,24
SAMEA1018169,ERR063657,S_36,,,,,24
SAMEA1018557,ERR063662,PSVC1,,,,69,1
SAMEA1018440,ERR063663,PRVC2,,,,69,1
SAMEA1018422,ERR063664,PSVC1M1,,,,69,1
SAMEA1018494,ERR063665,PSVC1M2,,,,69,1
SAMEA1018475,ERR063666,PSVC1M3,,,,69,1
SAMEA1018456,ERR063667,PSVC1M4,,,,69,1
SAMEA1018336,ERR063668,S_10,,,,,55
SAMEA1018464,ERR063670,Zim-12,,,,69,0
SAMEA1018441,ERR063671,Zim-25,,,,69,2
SAMEA1018424,ERR063673,K00849,,,,69,0
SAMEA1018629,ERR089424,4338,,,,69,5
SAMEA1018711,ERR089425,4339,,,,69,0
SAMEA1018678,ERR089426,4341,,,,69,1
SAMEA1018659,ERR089427,4342,,,,69,1
SAMEA1018810,ERR089428,4344,,,,69,4
SAMEA1018825,ERR089429,4345,,,,69,4
SAMEA1018799,ERR089430,4346,,,,69,2
SAMEA1018766,ERR089431,4347,,,,69,1
SAMEA1018744,ERR089432,4348,,,,69,7
SAMEA1018564,ERR089433,4351,,,,69,10
SAMEA1018543,ERR089434,4352,,,,69,5
SAMEA1018181,ERR089435,4353,,,,69,7
SAMEA1018285,ERR089436,4354,,,,69,2
SAMEA1018314,ERR089437,4355,,,,69,4
SAMEA1018249,ERR089438,4356,,,,69,1
SAMEA1018275,ERR089439,4357,,,,69,5
SAMEA1018268,ERR089440,4358,,,,69,1
SAMEA1018761,ERR089441,4359,,,,69,2
SAMEA1018736,ERR089442,4361,,,,69,2
SAMEA1018827,ERR089443,4362,,,,69,3
SAMEA1018795,ERR089444,4363,,,,69,2
SAMEA1018335,ERR089445,4364,,,,69,2
SAMEA1018368,ERR089446,4365,,,,69,9
SAMEA1018394,ERR089447,4366,,,,,72
SAMEA1018248,ERR089448,4368,,,,69,6
SAMEA1018265,ERR089449,4369,,,,69,3
SAMEA1018286,ERR089450,4370,,,,69,3
SAMEA1018296,ERR089451,4371,,,,69,4
SAMEA1018315,ERR089452,4372,,,,69,8
SAMEA1018168,ERR089453,4373,,,,69,2
SAMEA1018179,ERR089454,4374,,,,69,0
SAMEA1018467,ERR089455,4375,,,,69,5
SAMEA1018450,ERR089456,4376,,,,69,5
SAMEA1018485,ERR089457,4377,,,,69,5
SAMEA1018409,ERR089458,4378,,,,69,4
SAMEA1018434,ERR089459,4379,,,,69,4
SAMEA1018375,ERR089460,4380,,,,69,2
SAMEA1018395,ERR089461,4381,,,,69,6
SAMEA1018393,ERR089462,4382,,,,69,3
SAMEA1018325,ERR089463,4383,,,,69,3
SAMEA1018338,ERR089464,4384,,,,69,2
SAMEA1018597,ERR089465,4343,,,,69,7
SAMEA1018578,ERR089466,4386,,,,69,1
SAMEA1018583,ERR089467,4387,,,,69,0
SAMEA1018560,ERR089468,4388,,,,69,0
SAMEA1018535,ERR089469,4389,,,,69,4
SAMEA1018518,ERR089470,4390,,,,69,10
SAMEA1018496,ERR089471,4391,,,,69,7
SAMEA1018471,ERR089472,4392,,,,69,6
SAMEA1018448,ERR089473,4393,,,,69,2
SAMEA1018480,ERR089474,4394,,,,69,4
SAMEA1018618,ERR089475,4395,,,,69,5
SAMEA1018605,ERR089476,4396,,,,69,0
SAMEA1018580,ERR089477,4397,,,,69,3
SAMEA1018559,ERR089478,4398,,,,69,4
SAMEA1018552,ERR089479,4399,,,,69,3
SAMEA1018534,ERR089480,4400,,,,69,4
SAMEA1018515,ERR089481,4401,,,,69,3
SAMEA1018495,ERR089482,4403,,,,69,5
SAMEA1018451,ERR089483,4404,,,,69,3
SAMEA1018484,ERR089484,4405,,,,69,4
SAMEA1018796,ERR089485,4406,,,,69,2
SAMEA1018692,ERR089486,4407,,,,69,1
SAMEA1018650,ERR089487,4408,,,,69,1
SAMEA1018716,ERR089488,4409,,,,69,10
SAMEA1018701,ERR089489,4410,,,,69,0
SAMEA1018705,ERR089490,4411,,,,69,2
SAMEA1018600,ERR089491,4412,,,,69,5
SAMEA1018569,ERR089492,4413,,,,69,4
SAMEA1018628,ERR089493,4414,,,,69,1
SAMEA1018624,ERR089494,4415,,,,69,2
SAMEA1018177,ERR089495,4416,,,,69,6
SAMEA1018197,ERR089496,4417,,,,69,4
SAMEA1018230,ERR089497,4418,,,,69,0
SAMEA1018537,ERR089498,4419,,,,69,1
SAMEA1018563,ERR089499,4420,,,,69,4
SAMEA1018512,ERR089500,4421,,,,69,4
SAMEA1018500,ERR089501,4422,,,,69,1
SAMEA1018513,ERR089502,4423,,,,69,5
SAMEA1018612,ERR089503,4424,,,,69,3
SAMEA1018632,ERR089504,4425,,,,69,2
SAMEA1018387,ERR089505,4426,,,,69,1
SAMEA1018399,ERR089506,4427,,,,69,4
SAMEA1018370,ERR089507,4428,,,,69,1
SAMEA1018356,ERR089508,4429,,,,69,4
SAMEA1018319,ERR089509,4430,,,,69,1
SAMEA1018482,ERR089510,4431,,,,69,0
SAMEA1018470,ERR089512,4433,,,,69,0
SAMEA1018443,ERR089513,4434,,,,69,3
SAMEA1018411,ERR089514,4435,,,,69,0
SAMEA1018232,ERR089515,4436,,,,69,0
SAMEA1018211,ERR089516,4437,,,,69,3
SAMEA1018202,ERR089517,4438,,,,69,2
SAMEA1018260,ERR089518,4439,,,,69,4
SAMEA1018241,ERR089519,4440,,,,69,0
SAMEA1018308,ERR089520,4441,,,,69,1
SAMEA1018294,ERR089521,4442,,,,69,1
SAMEA1018341,ERR089522,4443,,,,69,0
SAMEA1018355,ERR089523,4444,,,,69,2
SAMEA1018333,ERR089524,4445,,,,69,2
SAMEA1018708,ERR089525,4446,,,,69,1
SAMEA1018727,ERR089526,4447,,,,69,2
SAMEA1018664,ERR089527,4448,,,,69,3
SAMEA1018660,ERR089528,4449,,,,69,0
SAMEA1018680,ERR089529,4450,,,,69,6
SAMEA1018313,ERR089530,4451,,,,69,1
SAMEA1018287,ERR089531,4452,,,,69,2
SAMEA1018263,ERR089532,4453,,,,69,2
SAMEA1018243,ERR089533,4454,,,,69,0
SAMEA1018250,ERR089534,4455,,,,69,5
SAMEA1018544,ERR089535,4456,,,,69,2
SAMEA1018550,ERR089536,4457,,,,69,2
SAMEA1018746,ERR089537,4458,,,,69,2
SAMEA1018770,ERR089538,4459,,,,69,2
SAMEA1018759,ERR089539,4460,,,,69,7
SAMEA1018783,ERR089540,4461,,,,69,2
SAMEA1018804,ERR089541,4462,,,,69,2
SAMEA1018665,ERR089542,4463,,,,69,3
SAMEA1018686,ERR089543,4464,,,,69,7
SAMEA1018712,ERR089544,4465,,,,69,6
SAMEA1018343,ERR089545,4466,,,,69,3
SAMEA1018326,ERR089546,4467,,,,69,3
SAMEA1018398,ERR089547,4468,,,,69,1
SAMEA1018381,ERR089548,4469,,,,69,4
SAMEA1018439,ERR089549,4470,,,,69,3
SAMEA1018429,ERR089550,4471,,,,69,2
SAMEA1018408,ERR089551,4472,,,,69,4
SAMEA1018474,ERR089552,4473,,,,69,0
SAMEA1018472,ERR089553,4474,,,,69,1
SAMEA1018176,ERR089554,4475,,,,69,2
SAMEA1018539,ERR089555,4476,,,,69,0
SAMEA1018565,ERR089556,4477,,,,69,0
SAMEA1018581,ERR089557,4478,,,,69,1
SAMEA1018602,ERR089558,4479,,,,69,6
SAMEA1018613,ERR089559,4480,,,,69,3
SAMEA1018630,ERR089560,4481,,,,69,3
SAMEA1018646,ERR089561,4482,,,,69,2
SAMEA1018392,ERR089562,4483,,,,69,1
SAMEA1018362,ERR089563,4484,,,,69,4
SAMEA1018354,ERR089564,4485,,,,69,5
SAMEA1018826,ERR089565,4486,,,,69,3
SAMEA1018805,ERR089566,4487,,,,69,1
SAMEA1018741,ERR089567,4488,,,,69,1
SAMEA1018762,ERR089568,4489,,,,69,1
SAMEA1018530,ERR089569,4490,,,,69,2
SAMEA1018548,ERR089570,4491,,,,69,5
SAMEA1018499,ERR089571,4492,,,,69,0
SAMEA1018509,ERR089572,4493,,,,69,9
SAMEA1018625,ERR089574,4495,,,,69,7
SAMEA1018614,ERR089575,4496,,,,69,1
SAMEA1018638,ERR089576,4497,,,,69,2
SAMEA1018573,ERR089577,4498,,,,69,13
SAMEA1018588,ERR089578,4500,,,,69,2
SAMEA1018609,ERR089579,4501,,,,69,1
SAMEA1018699,ERR089580,4502,,,,69,2
SAMEA1018725,ERR089581,4503,,,,69,0
SAMEA1018667,ERR089582,4504,,,,69,3
SAMEA1018690,ERR089583,4505,,,,69,4
SAMEA1018792,ERR089584,4506,,,,69,4
SAMEA1018218,ERR089585,4507,,,,69,0
SAMEA1018220,ERR089586,4508,,,,69,1
SAMEA1018776,ERR089587,4509,,,,69,2
SAMEA1018748,ERR089588,4510,,,,69,1
SAMEA1018743,ERR089589,4511,,,,69,0
SAMEA1018812,ERR089590,4512,,,,69,4
SAMEA1018782,ERR089591,4514,,,,69,4
SAMEA1018682,ERR089592,4516,,,,69,4
SAMEA1018670,ERR089593,4518,,,,69,3
SAMEA1018732,ERR089594,4519,,,,69,0
SAMEA1018292,ERR089595,4521,,,,69,4
SAMEA1018312,ERR089596,4523,,,,69,0
SAMEA1018239,ERR089597,4544,,,,69,1
SAMEA1018264,ERR089598,4547,,,,69,0
SAMEA1018194,ERR089599,4624,,,,69,0
SAMEA1018217,ERR089600,4630,,,,69,7
SAMEA1018235,ERR089601,4631,,,,69,3
SAMEA1018163,ERR089602,4632,,,,69,1
SAMEA1018186,ERR089603,4634,,,,69,3
SAMEA1018817,ERR089604,4635,,,,69,2
SAMEA1018378,ERR089605,4636,,,,69,0
SAMEA1018401,ERR089606,4637,,,,69,0
SAMEA1018418,ERR089607,4638,,,,69,0
SAMEA1018425,ERR089608,4639,,,,69,0
SAMEA1018457,ERR089609,4640,,,,69,0
SAMEA1018481,ERR089610,4641,,,,69,0
SAMEA1018490,ERR089611,4642,2006,India,O1_Inaba,69,0
SAMEA1018160,ERR089612,4643,,,,69,2
SAMEA1018178,ERR089613,4644,,,,69,0
SAMEA1018195,ERR089614,4648,,,,69,0
