BioSample,ST,Void_loci,SourceSeq,AMR genes,Identifier,SourceCountry,IsolatYear,Serogroup_type,Plasmid
SAMEA101021668,69,0,ERR2525445,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714775,,,,IncC
SAMEA101022418,69,0,ERR2525446,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714776,,,,IncC
SAMEA101023168,69,0,ERR2525447,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714777,,,,IncC
SAMEA101023918,69,0,ERR2275163,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714778,Kenya,2010 ,,IncC
SAMEA101024668,69,0,ERR2525448,"aac(3)-IIe, aadA1, aph(3'')-Ib, aph(6)-Id, arr, blaCTX-M-15, blaOXA-10, blaSCO-1, blaTEM-1, catB9, cmlA5, dfrA1, floR, mph(E), msr(E), sul1, sul2, tet(A), varG",4621STDY6714779,,,,"Col(pHAD28), IncC"
SAMEA101025418,69,0,ERR2275164,"catB9, dfrA1, varG",4621STDY6714780,Kenya,2016 ,,
SAMEA1018156,69,4,ERR044752,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",,,,,
SAMEA1018158,69,6,ERR044548,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",F02137,,,,
SAMEA1018159,69,7,ERR042773,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",C08672,,,,
SAMEA1018160,69,2,ERR089612,"catB9, dfrA1, varG",4643,,,,
SAMEA1018163,69,3,ERR089602,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4632,,,,
SAMEA1018168,69,5,ERR089453,"catB9, dfrA1, varG",4373,,,,
SAMEA1018169,,31,ERR063657,"qnrVC4, varG",S_36,,,,
SAMEA1018171,69,6,ERR044546,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",L01066,,,,
SAMEA1018172,69,2,ERR051771,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S8KCH18,Pakistan,2010 ,O1,
SAMEA1018174,73,29,ERR042755,varG,M15,,,,
SAMEA1018176,69,2,ERR089554,"catB9, dfrA1, varG",4475,,,,
SAMEA1018177,69,7,ERR089495,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4416,,,,
SAMEA1018178,69,2,ERR089613,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4644,,,,
SAMEA1018179,69,0,ERR089454,"catB9, dfrA1, varG",4374,,,,
SAMEA1018181,69,5,ERR089435,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4353,,,,
SAMEA1018182,69,0,ERR044751,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",M02166,,,,
SAMEA1018184,69,2,ERR042774,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",F01926,,,,
SAMEA1018186,69,4,ERR089603,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",4634,,,,
SAMEA1018187,69,0,ERR051770,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",S7KCH20,Pakistan,2010 ,O1,
SAMEA1018190,69,5,ERR044547,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",B08318,,,,
SAMEA1018194,69,2,ERR089599,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",4624,,,,
SAMEA1018195,69,2,ERR089614,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4648,,,,
SAMEA1018196,,56,ERR063655,,S_24,,,,
SAMEA1018197,69,4,ERR089496,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",4417,,,,
SAMEA1018198,69,9,ERR042771,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",M01422,,,,
SAMEA1018201,69,1,ERR054210,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",IB5403,,,,
SAMEA1018202,69,3,ERR089517,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4438,,,,
SAMEA1018205,69,4,ERR044550,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",E04548,,,,
SAMEA1018206,69,3,ERR044750,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",C09497,,,,
SAMEA1018207,69,15,ERR051773,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S10P57,Pakistan,2010 ,O1,
SAMEA1018210,69,6,ERR044551,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",F02148,,,,
SAMEA1018211,69,1,ERR089516,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4437,,,,
SAMEA1018216,69,9,ERR042770,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",F01826,,,,
SAMEA1018217,69,12,ERR089600,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4630,,,,
SAMEA1018218,69,4,ERR089585,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4507,,,,
SAMEA1018219,73,34,ERR042756,varG,M16,,,,
SAMEA1018220,69,3,ERR089586,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4508,,,,
SAMEA1018222,69,1,ERR054209,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",IB5402,,,,
SAMEA1018223,3,58,ERR063656,varG,S_29,,,,
SAMEA1018225,69,4,ERR042772,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",E04048,,,,
SAMEA1018226,69,4,ERR044549,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",B08383,,,,
SAMEA1018230,69,1,ERR089497,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4418,,,,
SAMEA1018231,69,2,ERR044749,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",M02145,,,,
SAMEA1018232,69,2,ERR089515,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4436,,,,
SAMEA1018234,69,0,ERR051772,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",S9KCH9,Pakistan,2010 ,O1,
SAMEA1018235,69,3,ERR089601,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4631,,,,
SAMEA1018237,69,5,ERR042757,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F01474,,,,
SAMEA1018239,69,2,ERR089597,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",4544,,,,
SAMEA1018241,69,2,ERR089519,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4440,,,,
SAMEA1018243,69,2,ERR089533,"catB9, dfrA1, varG",4454,,,,
SAMEA1018247,69,6,ERR051776,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S13P83,Pakistan,2010 ,O1,
SAMEA1018248,69,5,ERR089448,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4368,,,,
SAMEA1018249,69,0,ERR089438,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4356,,,,
SAMEA1018250,69,4,ERR089534,"catB9, dfrA1, varG",4455,,,,
SAMEA1018251,69,8,ERR044553,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",B08428,,,,
SAMEA1018252,69,1,ERR051761,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F17KTH4,Pakistan,2010 ,O1,
SAMEA1018257,69,8,ERR042768,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",L00700,,,,
SAMEA1018260,69,7,ERR089518,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4439,,,,
SAMEA1018263,69,3,ERR089532,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4453,,,,
SAMEA1018264,69,1,ERR089598,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",4547,,,,
SAMEA1018265,69,4,ERR089449,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4369,,,,
SAMEA1018266,69,7,ERR051775,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S12P76,Pakistan,2010 ,O1,
SAMEA1018269,69,0,ERR051789,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S26R24,Pakistan,2010 ,O1,
SAMEA1018273,69,8,ERR042769,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",A04119,,,,
SAMEA1018275,69,7,ERR089439,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4357,,,,
SAMEA1018276,69,2,ERR051760,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F16KTH6,Pakistan,2010 ,O1,
SAMEA1018277,69,9,ERR044552,"catB9, varG",B08392,,,,
SAMEA1018280,796,37,ERR063653,"catB9, varG",S_18,,,,
SAMEA1018282,69,1,ERR051788,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S25R22,Pakistan,2010 ,O1,
SAMEA1018283,69,4,ERR042766,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",B07626,,,,
SAMEA1018285,69,2,ERR089436,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4354,,,,
SAMEA1018286,69,3,ERR089450,"catB9, dfrA1, varG",4370,,,,
SAMEA1018287,69,3,ERR089531,"catB9, dfrA1, varG",4452,,,,
SAMEA1018290,69,10,ERR044555,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F02195,,,,
SAMEA1018292,69,2,ERR089595,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4521,,,,
SAMEA1018293,69,0,ERR063650,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",IB5424,,,,
SAMEA1018294,69,5,ERR089521,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4442,,,,
SAMEA1018296,69,6,ERR089451,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4371,,,,
SAMEA1018301,69,4,ERR044554,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",F02171,,,,
SAMEA1018308,69,0,ERR089520,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",4441,,,,
SAMEA1018309,69,4,ERR051777,"aph(3'')-Ib, aph(6)-Id, blaCMY-4, catB9, dfrA1, floR, sul2, varG",S14P9,Pakistan,2010 ,O1,IncQ1
SAMEA1018311,69,4,ERR042767,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",D07820,,,,
SAMEA1018312,69,0,ERR089596,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4523,,,,
SAMEA1018313,69,3,ERR089530,"catB9, dfrA1, varG",4451,,,,
SAMEA1018314,69,7,ERR089437,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4355,,,,
SAMEA1018315,69,10,ERR089452,"catB9, dfrA1, varG",4372,,,,
SAMEA1018316,69,0,ERR051787,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S24RG6,Pakistan,2010 ,O1,
SAMEA1018319,69,4,ERR089509,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4430,,,,
SAMEA1018320,69,0,ERR051786,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",S23HH18,Pakistan,2010 ,O1,
SAMEA1018324,69,1,ERR051746,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F2D59,Pakistan,2010 ,O1,
SAMEA1018325,69,5,ERR089463,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4383,,,,
SAMEA1018326,69,6,ERR089546,"catB9, dfrA1, varG",4467,,,,
SAMEA1018333,69,2,ERR089524,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4445,,,,
SAMEA1018335,69,3,ERR089445,"catB9, dfrA1, varG",4364,,,,
SAMEA1018336,,56,ERR063668,,S_10,,,,
SAMEA1018337,69,9,ERR044538,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",C09011,,,,
SAMEA1018338,69,5,ERR089464,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4384,,,,
SAMEA1018339,69,5,ERR044557,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",L01148,,,,
SAMEA1018341,69,2,ERR089522,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4443,,,,
SAMEA1018343,69,4,ERR089545,"catB9, dfrA1, varG",4466,,,,
SAMEA1018344,69,0,ERR051745,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",F1DN4,Pakistan,2010 ,O1,
SAMEA1018345,69,2,ERR051785,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S22HH17,Pakistan,2010 ,O1,
SAMEA1018348,69,1,ERR051784,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S21HH15,Pakistan,2010 ,O1,
SAMEA1018349,69,5,ERR042765,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",F01734,,,,
SAMEA1018352,69,6,ERR042734,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",G13,,,,
SAMEA1018354,69,1,ERR089564,"catB9, dfrA1, varG",4485,,,,
SAMEA1018355,69,5,ERR089523,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4444,,,,
SAMEA1018356,69,6,ERR089508,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4429,,,,
SAMEA1018358,69,7,ERR044556,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",A04583,,,,
SAMEA1018361,69,4,ERR044539,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",C09093,,,,
SAMEA1018362,69,3,ERR089563,"catB9, dfrA1, varG",4484,,,,
SAMEA1018363,69,3,ERR044777,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",B08654,,,,
SAMEA1018367,69,8,ERR042732,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",G8,,,,
SAMEA1018368,69,10,ERR089446,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4365,,,,
SAMEA1018370,69,2,ERR089507,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",4428,,,,
SAMEA1018371,69,1,ERR051783,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S20HH14,Pakistan,2010 ,O1,
SAMEA1018375,69,1,ERR089460,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4380,,,,
SAMEA1018377,69,11,ERR042733,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, tet(A), varG",G11,Palestine,1994 ,,
SAMEA1018378,69,2,ERR089605,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4636,,,,
SAMEA1018379,69,2,ERR044763,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",M02201,,,,
SAMEA1018381,69,2,ERR089548,"catB9, dfrA1, varG",4469,,,,
SAMEA1018387,69,4,ERR089505,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4426,,,,
SAMEA1018389,69,7,ERR044540,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",B08287,,,,
SAMEA1018391,69,12,ERR042731,"aadA1, catB9, dfrA1, sul1, varG",G6,,,,
SAMEA1018392,69,1,ERR089562,"catB9, dfrA1, varG",4483,,,,
SAMEA1018393,69,3,ERR089462,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4382,,,,
SAMEA1018394,,115,ERR089447,"aph(3'')-Ib, aph(6)-Id, dfrA1, floR, sul2, varG",4366,,,,
SAMEA1018395,69,9,ERR089461,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4381,,,,
SAMEA1018398,69,2,ERR089547,"catB9, dfrA1, varG",4468,,,,
SAMEA1018399,69,7,ERR089506,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, sul2, tetA(D), varG",4427,,,,
SAMEA1018400,69,4,ERR044776,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",M02485,,,,
SAMEA1018401,69,2,ERR089606,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4637,,,,
SAMEA1018407,69,7,ERR042730,"aadA1, catB9, dfrA1, sul1, varG",G4,,,,
SAMEA1018408,69,7,ERR089551,"catB9, dfrA1, varG",4472,,,,
SAMEA1018409,69,7,ERR089458,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4378,,,,
SAMEA1018411,69,1,ERR089514,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4435,,,,
SAMEA1018412,69,1,ERR044775,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",C09563,,,,
SAMEA1018415,69,1,ERR051781,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S18HH4,Pakistan,2010 ,O1,
SAMEA1018418,69,2,ERR089607,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4638,,,,
SAMEA1018419,69,9,ERR044541,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",M01788,,,,
SAMEA1018421,69,4,ERR044800,"aadA1, catB9, dfrA1, sul1, varG",Zim_27,Zimbabwe,2009 ,,
SAMEA1018422,69,1,ERR063664,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",PSVC1M1,,,,
SAMEA1018424,69,2,ERR044773,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",K00849,,,,
SAMEA1018425,69,2,ERR089608,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4639,,,,
SAMEA1018428,69,14,ERR042743,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",G33,,,,
SAMEA1018429,69,4,ERR089550,"catB9, dfrA1, varG",4471,,,,
SAMEA1018430,69,1,ERR051780,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",S17HH3,Pakistan,2010 ,O1,
SAMEA1018434,69,7,ERR089459,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4379,,,,
SAMEA1018437,69,15,ERR042729,"catB9, dfrA1, varG",G2,Palestine,1994 ,,
SAMEA1018438,69,12,ERR042744,"aadA1, aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul1, sul2, tet(A), varG",G34,,,,
SAMEA1018439,69,5,ERR089549,"catB9, dfrA1, varG",4470,,,,
SAMEA1018440,69,3,ERR063663,"catB9, varG",PRVC2,,,,
SAMEA1018441,69,3,ERR044799,"aadA1, catB9, dfrA1, sul1, varG",Zim_25,Zimbabwe,2009 ,,
SAMEA1018443,69,5,ERR089513,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4434,,,,
SAMEA1018445,69,4,ERR044774,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, mph(A), qnrVC1, sul2, tetA(D), varG",A04747,,,,
SAMEA1018447,69,3,ERR044542,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",D08526,,,,
SAMEA1018448,69,4,ERR089473,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4393,,,,
SAMEA1018450,69,2,ERR089456,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4376,,,,
SAMEA1018451,69,2,ERR089483,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, floR, sul2, varG",4404,,,,
SAMEA1018456,69,1,ERR063667,"aph(3'')-Ib, aph(6)-Id, catB9, dfrA1, dfrA31, qnrVC1, sul2, tetA(D), varG",PSVC1M4,,,,
